ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
0 ; RESERVED:CONDITION:INSERTED:global:undefined:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 2 ; 5 ; 1090, 531, 5013, 566, 359
1 ; RESERVED:CONDITION:INSERTED:global:return:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:3.0 , RESERVED:CONDITION:INSERTED:global:falsey:2.0 , FIELD:CONDITION:INSERTED:global:length:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 , METHOD:METHOD_CALL:REMOVED:global:isNaN:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 10 ; 2 ; 1 ; 12 ; 4496, 4737, 4691, 5156, 4565, 3957, 4776, 4969, 4411, 4380, 5517, 4863
2 ; RESERVED:STATEMENT:INSERTED:global:try:1.0 , RESERVED:ARGUMENT:INSERTED:global:callback:1.0 , RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0 , RESERVED:METHOD_CALL:INSERTED:global:error:1.0 ; 4 ; 3 ; 1 ; 3 ; 5016, 5705, 4959
