ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
0 ; RESERVED:CONDITION:INSERTED:global:return:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:3.0 , RESERVED:CONDITION:INSERTED:global:falsey:2.0 , FIELD:CONDITION:INSERTED:global:length:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:undefined:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 , METHOD:METHOD_CALL:REMOVED:global:isNaN:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 11 ; 1 ; 2 ; 17 ; 4737, 1090, 5156, 359, 4776, 4969, 5517, 4496, 531, 4691, 4565, 3957, 5013, 566, 4411, 4380, 4863
1 ; RESERVED:STATEMENT:INSERTED:global:try:1.0 , RESERVED:ARGUMENT:INSERTED:global:callback:1.0 , RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0 , RESERVED:METHOD_CALL:INSERTED:global:error:1.0 ; 4 ; 3 ; 1 ; 3 ; 5016, 5705, 4959
