"","ID","Centers","NumbTest","TotalCluster_Charles","TotalSumSquares_Charles","TotalwithinClusterSumSquares_Charles","TotalBetweenClusterSumSquares_Charles","Iterations_Charles","FaultInAlgorithm_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalSumSquares_Hanam","TotalwithinClusterSumSquares_Hanam","TotalBetweenClusterSumSquares_Hanam","Iterations_Hanam","FaultInAlgorithm_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"1",1,2,1,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"2",2,3,1,3,118.884615384615,73.0833333333333,45.8012820512821,2,0,0.481818181818182,0.649230769230769,3,117.923076923077,71.8999999999997,46.0230769230773,2,0,0.428571428571429,0.618461538461539,TRUE
"3",3,4,1,4,118.884615384615,55.8823529411764,63.002262443439,2,0,0.560240963855422,0.775384615384615,4,117.923076923077,55.2156862745097,62.7073906485672,3,0,0.560240963855422,0.775384615384615,FALSE
"4",4,5,1,5,118.884615384615,47.9047619047619,70.9798534798535,2,0,0.459090909090909,0.633846153846154,5,117.923076923077,43.4696969696969,74.45337995338,1,0,0.417177914110429,0.707692307692308,TRUE
"5",5,6,1,6,118.884615384615,34.5,84.3846153846154,3,0,0.566176470588235,0.818461538461538,6,117.923076923077,34.5238095238095,83.3992673992674,2,0,0.42,0.732307692307692,TRUE
"6",6,7,1,7,118.884615384615,25.575,93.3096153846154,2,0,0.449612403100775,0.781538461538462,7,117.923076923077,28.0333333333333,89.8897435897436,3,0,0.471544715447154,0.8,TRUE
"7",7,8,1,8,118.884615384615,18.3619047619048,100.522710622711,3,0,0.37719298245614,0.781538461538462,8,117.923076923077,17.5833333333333,100.339743589744,3,0,0.666666666666667,0.883076923076923,TRUE
"8",8,9,1,9,118.884615384615,13.0333333333333,105.851282051282,3,0,0.491228070175439,0.821538461538462,9,117.923076923077,13.8619047619048,104.061172161172,3,0,0.359649122807018,0.775384615384615,TRUE
"9",9,10,1,10,118.884615384615,10.5555555555556,108.32905982906,2,0,0.412280701754386,0.793846153846154,10,117.923076923077,9.83333333333334,108.089743589744,2,0,0.307017543859649,0.756923076923077,TRUE
"10",10,11,1,11,118.884615384615,8,110.884615384615,3,0,0.254385964912281,0.738461538461539,11,117.923076923077,9.05555555555556,108.867521367521,2,0,0.403508771929825,0.790769230769231,TRUE
"11",11,12,1,12,118.884615384615,6.46666666666667,112.417948717949,3,0,0.210526315789474,0.723076923076923,12,117.923076923077,5.96666666666667,111.95641025641,2,0,0.210526315789474,0.723076923076923,FALSE
"12",12,13,1,13,118.884615384615,5.63333333333333,113.251282051282,2,0,0.192982456140351,0.716923076923077,13,117.923076923077,5.16666666666667,112.75641025641,2,0,0.228070175438596,0.729230769230769,TRUE
"13",13,14,1,14,118.884615384615,4.66666666666667,114.217948717949,2,0,0.219298245614035,0.726153846153846,14,117.923076923077,6.76190476190476,111.161172161172,2,0,0.263157894736842,0.741538461538462,TRUE
"14",14,15,1,15,118.884615384615,7.3,111.584615384615,2,0,0.175438596491228,0.710769230769231,15,117.923076923077,3.13333333333333,114.789743589744,2,0,0.175438596491228,0.710769230769231,FALSE
"15",15,2,2,2,118.884615384615,85.2800000000001,33.6046153846153,1,0,0.348684210526316,0.390769230769231,2,117.923076923077,84.3200000000001,33.6030769230768,1,0,0.348684210526316,0.390769230769231,FALSE
"16",16,3,2,3,118.884615384615,73.0833333333333,45.8012820512821,2,0,0.481818181818182,0.649230769230769,3,117.923076923077,66.7564102564102,51.1666666666667,2,0,0.451428571428571,0.704615384615385,TRUE
"17",17,4,2,4,118.884615384615,61,57.8846153846154,2,0,0.607843137254902,0.815384615384615,4,117.923076923077,55.2156862745097,62.7073906485672,2,0,0.560240963855422,0.775384615384615,TRUE
"18",18,5,2,5,118.884615384615,40.3125,78.5721153846154,3,0,0.588235294117647,0.806153846153846,5,117.923076923077,43.8525641025641,74.0705128205128,3,0,0.815789473684211,0.935384615384615,TRUE
"19",19,6,2,6,118.884615384615,33.9215686274509,84.9630467571645,2,0,0.555555555555556,0.778461538461538,6,117.923076923077,34.9583333333333,82.9647435897436,2,0,0.604651162790698,0.843076923076923,TRUE
"20",20,7,2,7,118.884615384615,23.4444444444444,95.4401709401709,2,0,0.473684210526316,0.815384615384615,7,117.923076923077,27.4333333333333,90.4897435897436,2,0,0.318518518518519,0.716923076923077,TRUE
"21",21,8,2,8,118.884615384615,18.3619047619048,100.522710622711,2,0,0.37719298245614,0.781538461538462,8,117.923076923077,17.5833333333333,100.339743589744,3,0,0.666666666666667,0.883076923076923,TRUE
