"","ID","Epsilon","MinPts","Epsilon_identify","TotalCluster_Charles","TotalOutliers_Charles","Jaccard_Charles","Rand_Charles","TotalCluster_Hanam","TotalOutliers_Hanam","Jaccard_Hanam","Rand_Hanam","Has_Result_Diff"
"1",1,0.1,2,0.1,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"2",2,0.1,3,0.1,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"3",3,0.1,4,0.1,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"4",4,0.1,5,0.1,1,21,0.392405063291139,0.556923076923077,1,21,0.392405063291139,0.556923076923077,FALSE
"5",5,0.1,6,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"6",6,0.1,7,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"7",7,0.1,8,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"8",8,0.1,9,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"9",9,0.1,10,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"10",10,0.1,11,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"11",11,0.1,12,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"12",12,0.1,13,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"13",13,0.1,14,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"14",14,0.1,15,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"15",15,0.1,16,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"16",16,0.1,17,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"17",17,0.1,18,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"18",18,0.1,19,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"19",19,0.1,20,0.1,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"20",20,0.3,2,0.3,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"21",21,0.3,3,0.3,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"22",22,0.3,4,0.3,2,17,0.278048780487805,0.544615384615385,2,17,0.278048780487805,0.544615384615385,FALSE
"23",23,0.3,5,0.3,1,21,0.392405063291139,0.556923076923077,1,21,0.392405063291139,0.556923076923077,FALSE
"24",24,0.3,6,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"25",25,0.3,7,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"26",26,0.3,8,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"27",27,0.3,9,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"28",28,0.3,10,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"29",29,0.3,11,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
"30",30,0.3,12,0.3,0,26,0.338461538461538,0.338461538461538,0,26,0.338461538461538,0.338461538461538,FALSE
