ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
95 ; RESERVED:CONDITION:INSERTED:global:eq:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 16 ; 26 ; 109318, 76556, 82641, 16344, 22104, 90328, 23773, 129628, 31647, 108578, 129253, 88679, 111975, 81256, 130410, 76013, 127597, 79980, 111790, 51188, 19829, 6327, 35959, 129206, 88249, 85370
96 ; RESERVED:ARGUMENT:INSERTED:global:error:1.0 ; 1 ; 1 ; 18 ; 26 ; 100992, 46914, 82819, 899, 132879, 110033, 8595, 16984, 53274, 63005, 103391, 87520, 93987, 109795, 34533, 11943, 94697, 28140, 29679, 108848, 118064, 89011, 16116, 30840, 125882, 12095
97 ; RESERVED:STATEMENT:REMOVED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 3 ; 3 ; 5 ; 5 ; 118320, 45592, 78025, 36155, 109039
98 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 2 ; 13 ; 24 ; 55616, 68129, 10145, 119139, 124002, 113317, 90823, 123275, 31243, 1548, 83085, 25325, 122412, 17166, 43631, 61775, 126897, 56147, 17110, 123927, 57048, 70136, 109150, 128222
99 ; RESERVED:CONDITION:INSERTED:global:falsey:2.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 3 ; 20 ; 33 ; 21760, 29827, 119106, 109189, 124871, 4103, 80774, 112646, 123590, 13768, 86408, 86413, 86417, 54677, 73684, 119764, 8283, 67098, 65180, 99357, 125089, 44642, 72037, 99111, 117863, 46191, 123633, 131826, 96624, 88821, 12407, 88822, 123965
100 ; RESERVED:STATEMENT:UPDATED:global:return:1.0 , METHOD:METHOD_CALL:INSERTED:global:toLowerCase:1.0 ; 2 ; 1 ; 3 ; 5 ; 109349, 96950, 99222, 127094, 133261
101 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 3 ; 2 ; 3 ; 6 ; 117987, 123670, 109786, 65085, 60590, 125614
102 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , METHOD:METHOD_CALL:INSERTED:global:indexOf:1.0 ; 2 ; 1 ; 9 ; 10 ; 130801, 109826, 115877, 57462, 31495, 65496, 115128, 73147, 73531, 23613
103 ; FIELD:ASSIGNMENT_LHS:REMOVED:global:prototype:1.0 ; 1 ; 5 ; 8 ; 8 ; 24371, 109973, 15701, 50006, 88537, 43771, 55163, 80650
104 ; METHOD:METHOD_CALL:INSERTED:global:indexOf:1.0 ; 1 ; 1 ; 7 ; 11 ; 16032, 62800, 15060, 96598, 125131, 128219, 128811, 15195, 11804, 130333, 124140
105 ; RESERVED:CONDITION:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 2 ; 1 ; 15 ; 21 ; 31298, 50916, 113476, 121063, 73318, 119334, 20649, 121480, 10765, 25261, 89135, 1487, 95761, 4753, 8530, 68313, 131674, 110104, 131064, 24188, 89758
106 ; RESERVED:CONDITION:UPDATED:global:sheq:1.0 , METHOD:METHOD_CALL:INSERTED:global:toLowerCase:1.0 ; 2 ; 1 ; 4 ; 5 ; 129043, 15095, 15083, 37403, 84079
107 ; RESERVED:CONDITION:REMOVED:global:error:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:error:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 4 ; 1 ; 4 ; 5 ; 98564, 24838, 110711, 20411, 56525
108 ; FIELD:ASSIGNMENT_LHS:REMOVED:global:prototype:1.0 ; 1 ; 1 ; 6 ; 6 ; 63576, 110744, 7259, 15452, 114541, 41933
109 ; METHOD:METHOD_CALL:INSERTED:global:parseInt:1.0 ; 1 ; 1 ; 5 ; 6 ; 7091, 93954, 15140, 72039, 15143, 80106
110 ; RESERVED:ARGUMENT:INSERTED:global:true:1.0 ; 1 ; 1 ; 21 ; 30 ; 45507, 44868, 51972, 27974, 76359, 111302, 83272, 37516, 127319, 110941, 98527, 112543, 126047, 55458, 117285, 114660, 51111, 62120, 121449, 119528, 123629, 73964, 20655, 30576, 70769, 85360, 56181, 114616, 85949, 57982
111 ; RESERVED:CONDITION:REMOVED:global:typeof:1.0 , RESERVED:CONDITION:REMOVED:global:undefined:1.0 ; 2 ; 1 ; 5 ; 7 ; 96513, 120274, 32964, 130104, 114283, 111130, 85021
112 ; RESERVED:STATEMENT:UPDATED:global:return:1.0 , METHOD:METHOD_CALL:INSERTED:global:replace:1.0 ; 2 ; 1 ; 14 ; 20 ; 62976, 22433, 88451, 129091, 78309, 129766, 12584, 27528, 5259, 60235, 66061, 83182, 77427, 111283, 35797, 85940, 83287, 75865, 82009, 128059
113 ; METHOD:METHOD_CALL:INSERTED:global:exec:1.0 ; 1 ; 1 ; 6 ; 16 ; 55203, 70341, 111462, 111758, 111378, 111317, 111349, 94004, 113815, 111286, 111382, 111577, 111802, 111325, 133215, 111359
114 ; RESERVED:METHOD_CALL:REMOVED:global:error:1.0 ; 1 ; 1 ; 5 ; 14 ; 69537, 71585, 122018, 122562, 116773, 111849, 70060, 124431, 120142, 59664, 95987, 99891, 68050, 126106
115 ; RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 6 ; 8 ; 41920, 77185, 112016, 75186, 99640, 126330, 97405, 122189
116 ; RESERVED:CONDITION:INSERTED:global:sheq:2.0 , RESERVED:CONDITION:INSERTED:global:typeof:2.0 ; 2 ; 2 ; 9 ; 9 ; 5489, 30241, 51826, 112163, 116962, 33384, 13930, 62700, 20302
117 ; METHOD:METHOD_CALL:INSERTED:global:forEach:1.0 ; 1 ; 4 ; 12 ; 16 ; 15938, 57634, 27843, 94820, 82249, 8779, 74573, 103149, 80972, 112211, 131799, 51574, 54454, 116599, 20667, 121341
118 ; RESERVED:ARGUMENT:INSERTED:global:error:1.0 , RESERVED:METHOD_CALL:INSERTED:global:callback:1.0 , RESERVED:STATEMENT:INSERTED:global:return:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:error:1.0 ; 5 ; 2 ; 4 ; 5 ; 112545, 118610, 95844, 120264, 115451
119 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:2.0 ; 1 ; 2 ; 22 ; 36 ; 25536, 60160, 25729, 49475, 25605, 45000, 65097, 35916, 35150, 114959, 58832, 25618, 78483, 114706, 22357, 51413, 99540, 25558, 4185, 49369, 50201, 87837, 63517, 3935, 103013, 90791, 10791, 3944, 67240, 103016, 8234, 71152, 8498, 12983, 94265, 112637
120 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:return:1.0 ; 3 ; 1 ; 6 ; 7 ; 98625, 112736, 117973, 124791, 58168, 129450, 64398
121 ; RESERVED:CONDITION:REMOVED:global:sheq:2.0 ; 1 ; 1 ; 5 ; 5 ; 69667, 118196, 59670, 112966, 78505
122 ; RESERVED:ARGUMENT:INSERTED:global:null:1.0 ; 1 ; 1 ; 16 ; 26 ; 88260, 6278, 12423, 43591, 43595, 122895, 71630, 16529, 64659, 113044, 99480, 113880, 76506, 123357, 23902, 82590, 124638, 84323, 75177, 7274, 73130, 72372, 122228, 18296, 81528, 98878
123 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , METHOD:METHOD_CALL:INSERTED:global:isNaN:1.0 ; 2 ; 1 ; 5 ; 6 ; 113219, 22403, 71781, 54823, 52456, 22398
124 ; RESERVED:STATEMENT:UPDATED:global:var:1.0 , METHOD:METHOD_CALL:INSERTED:global:toLowerCase:1.0 ; 2 ; 1 ; 7 ; 8 ; 99585, 113313, 32707, 77492, 81449, 58009, 125916, 52990
125 ; RESERVED:STATEMENT:INSERTED:global:try:1.0 , RESERVED:EXCEPTION_CATCH:INSERTED:global:error:1.0 ; 2 ; 2 ; 22 ; 50 ; 41347, 6023, 70920, 83464, 17043, 17302, 47386, 125596, 37665, 33442, 66725, 19494, 83878, 15534, 72495, 72494, 22068, 125364, 53815, 53432, 82872, 16828, 55870, 22084, 16069, 82119, 16585, 43338, 83659, 129100, 122831, 64721, 125541, 129511, 51943, 77158, 31848, 22249, 102251, 22253, 73582, 28785, 20978, 113397, 20982, 66935, 24823, 82552, 16506, 42491
126 ; RESERVED:PARAMETER_DECLARATION:INSERTED:global:callback:1.0 ; 1 ; 5 ; 5 ; 5 ; 113426, 33524, 101207, 10391, 10985
127 ; METHOD:METHOD_CALL:REMOVED:global:forEach:1.0 ; 1 ; 3 ; 6 ; 6 ; 74544, 31730, 19909, 6298, 7631, 113454
128 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0 ; 2 ; 1 ; 7 ; 9 ; 32544, 81105, 122613, 89716, 113588, 29673, 81099, 50894, 89711
129 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:null:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 2 ; 1 ; 6 ; 8 ; 120452, 113657, 45881, 80088, 119146, 69212, 83228, 81471
130 ; METHOD:METHOD_CALL:REMOVED:global:replace:1.0 ; 1 ; 1 ; 11 ; 17 ; 48514, 123138, 78920, 123048, 21676, 83022, 29008, 16401, 98963, 27411, 28757, 37366, 124023, 26007, 114038, 76217, 114975
131 ; METHOD:METHOD_CALL:REMOVED:global:push:1.0 ; 1 ; 1 ; 5 ; 7 ; 77248, 29300, 71320, 79960, 69290, 114044, 71295
132 ; RESERVED:CONDITION:REMOVED:global:sheq:1.0 ; 1 ; 1 ; 21 ; 42 ; 96385, 38145, 119491, 68354, 116678, 8842, 98188, 9422, 127759, 125521, 122000, 69906, 13652, 56727, 77529, 125593, 120731, 30237, 67615, 116638, 128480, 125538, 57831, 117480, 119656, 125224, 32490, 94315, 82602, 51501, 124463, 77294, 37170, 60338, 13235, 88370, 114293, 72950, 16376, 80186, 123002, 49151
133 ; RESERVED:ARGUMENT:REMOVED:global:false:1.0 ; 1 ; 1 ; 5 ; 6 ; 31088, 64273, 53827, 53835, 114474, 122191
134 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 ; 2 ; 1 ; 7 ; 11 ; 65889, 103009, 37159, 43623, 53495, 55175, 62487, 114518, 43785, 55162, 37452
135 ; RESERVED:STATEMENT:INSERTED:global:var:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:STATEMENT:UPDATED:global:var:1.0 ; 3 ; 3 ; 14 ; 20 ; 13792, 30912, 99616, 46754, 20771, 114818, 65446, 133294, 66895, 64111, 63313, 121616, 9618, 71445, 69142, 12824, 42072, 123672, 52668, 71837
136 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:false:1.0 ; 2 ; 1 ; 5 ; 5 ; 62480, 65107, 26152, 55146, 115134
137 ; RESERVED:CONDITION:REMOVED:global:falsey:3.0 ; 1 ; 2 ; 7 ; 8 ; 50785, 107152, 8259, 94679, 115496, 93133, 120397, 48031
138 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 ; 2 ; 2 ; 11 ; 14 ; 79618, 130626, 12709, 122596, 87819, 24011, 40715, 79596, 122510, 100881, 115793, 119382, 120603, 68510
139 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:callback:1.0 ; 2 ; 1 ; 5 ; 8 ; 99952, 100624, 119379, 54117, 115796, 51068, 41021, 123852
140 ; FIELD:ASSIGNMENT_LHS:INSERTED:global:prototype:2.0 ; 1 ; 6 ; 5 ; 7 ; 42738, 124098, 85893, 115814, 81416, 97930, 55260
141 ; RESERVED:CONDITION:REMOVED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:null:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 1 ; 5 ; 7 ; 72164, 63575, 98614, 59208, 116073, 127935, 131148
142 ; RESERVED:CONDITION:INSERTED:global:falsey:2.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 1 ; 13 ; 26 ; 54913, 129730, 95367, 132684, 129488, 7509, 117463, 63192, 68376, 123224, 127896, 98267, 124250, 129882, 80221, 125213, 116128, 88933, 125605, 122724, 121766, 82100, 128052, 48118, 120440, 79742
143 ; METHOD:METHOD_CALL:INSERTED:global:match:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 ; 2 ; 1 ; 6 ; 8 ; 72017, 123648, 17268, 65015, 116136, 26586, 19918, 98511
144 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:STATEMENT:INSERTED:global:new:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 2 ; 10 ; 13 ; 59296, 81764, 24007, 32423, 116169, 38826, 39402, 132840, 127342, 76149, 20597, 126356, 41564
145 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:true:1.0 , RESERVED:STATEMENT:UPDATED:global:return:1.0 ; 2 ; 1 ; 3 ; 5 ; 121968, 130739, 121254, 122251, 116365
146 ; METHOD:METHOD_CALL:INSERTED:global:filter:1.0 ; 1 ; 3 ; 10 ; 16 ; 47906, 107459, 46789, 116647, 123565, 124652, 127404, 31247, 118542, 81429, 94516, 10839, 126038, 63257, 127800, 9823
147 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:error:1.0 ; 2 ; 1 ; 6 ; 6 ; 116705, 60312, 6938, 131359, 82110, 98606
