              	Clustered	Not Clustered
Classified    	0		31
Not Classified	1291		8043


Class; Epsilon; Precision; Recall; FMeasure; FowlkesMallows; Inspected; CapturedPatterns; ClusterComp; ClasseComp;
#;0,30; 0,00; 0,00; NaN; 0,00; 0,14; 0;{0=NA}, {1=NA}, {2=NA}, {3=NA};{0=NA}, {1=NA}, {2=NA}, {3=NA}; NaN; NaN
