ClusterID; BCTs; BasicChanges; Complexity; ProjectCount; Instances; ContainsInstances
10 ; RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 2 ; 29 ; 92 ; 60032, 86656, 124672, 68483, 88325, 35205, 13961, 14090, 99466, 112650, 87692, 127116, 121742, 98961, 59537, 127635, 21523, 21524, 34964, 73364, 56600, 16793, 74523, 26651, 131870, 110236, 122780, 66591, 49055, 45089, 139174, 55974, 129831, 7723, 130220, 52399, 106805, 129972, 108726, 49720, 49849, 130744, 135993, 63932, 12479, 125118, 121665, 125890, 128711, 72518, 63561, 77768, 134985, 36176, 89296, 17746, 136656, 84693, 122196, 103767, 90585, 13017, 111576, 129756, 13790, 87903, 112864, 136161, 80357, 77924, 109286, 60904, 14825, 41065, 129131, 137581, 119152, 128755, 131830, 123508, 79734, 126198, 38520, 68217, 123641, 63865, 89208, 34299, 129786, 130938, 98300, 58367
11 ; RESERVED:ASSIGNMENT_RHS:REMOVED:global:true:1.0 ; 1 ; 1 ; 30 ; 60 ; 130049, 12419, 72581, 134279, 127627, 100364, 60432, 83217, 33169, 60050, 113554, 67095, 116887, 60954, 43804, 84510, 107550, 130336, 125475, 49827, 54308, 91428, 91433, 96168, 96808, 125994, 96559, 17583, 80947, 57011, 9398, 9145, 15801, 24761, 108989, 130876, 65727, 33343, 111427, 10442, 42444, 133453, 138445, 128592, 106962, 84694, 95704, 46685, 74079, 95199, 103777, 124513, 4451, 56939, 54387, 133621, 57080, 130043, 126460, 4862
12 ; RESERVED:CONDITION:INSERTED:global:falsey:2.0 ; 1 ; 2 ; 48 ; 191 ; 98305, 62977, 52482, 73481, 104203, 106507, 42764, 99341, 121612, 114959, 59663, 57872, 131603, 73749, 66324, 97302, 23321, 59162, 69914, 26396, 133148, 84766, 67104, 34850, 98083, 135719, 86823, 110374, 50728, 62504, 50217, 60713, 72232, 42283, 15148, 106540, 46894, 59695, 66864, 36658, 77875, 48948, 12342, 124470, 131386, 118840, 80704, 131392, 62532, 110405, 125769, 55881, 45389, 98124, 131407, 80206, 97617, 112465, 116304, 61014, 85079, 106838, 19032, 87641, 60506, 67418, 100700, 7774, 58721, 67683, 128612, 11879, 128614, 12648, 9833, 21099, 130666, 56940, 61292, 128109, 31341, 96108, 106351, 127345, 135280, 30581, 43896, 45432, 27517, 5758, 61055, 69502, 139645, 99456, 115587, 65411, 115333, 18821, 121988, 4998, 51079, 70537, 110473, 118665, 108939, 81292, 125839, 126095, 131213, 86160, 112533, 111508, 122004, 130196, 59291, 139161, 58780, 103329, 126368, 28323, 47268, 124836, 139175, 13482, 51882, 22444, 138670, 67244, 73388, 110511, 69552, 124336, 128944, 39602, 68787, 103861, 64696, 73405, 14015, 128704, 116418, 25285, 15302, 65478, 48072, 26314, 123597, 9677, 116172, 139468, 76753, 84432, 3795, 13012, 63700, 123860, 127959, 6106, 23002, 57818, 77789, 18910, 61406, 94431, 106207, 108766, 97763, 104419, 108771, 72933, 46053, 130276, 130279, 77542, 55528, 130540, 52974, 12271, 91633, 134643, 7922, 97778, 102900, 134644, 47607, 71158, 134645, 95737, 17659, 73210, 26109
13 ; RESERVED:STATEMENT:REMOVED:global:return:1.0 , RESERVED:CONDITION:REMOVED:global:falsey:1.0 ; 2 ; 2 ; 12 ; 18 ; 55938, 103909, 28390, 129511, 134442, 79464, 139371, 95245, 108780, 45072, 117456, 95762, 101717, 60887, 103449, 105084, 117150, 121182
14 ; RESERVED:CONDITION:INSERTED:global:sheq:1.0 , RESERVED:CONDITION:INSERTED:global:falsey:1.0 , RESERVED:CONDITION:INSERTED:global:typeof:1.0 ; 3 ; 3 ; 13 ; 15 ; 36160, 69313, 123936, 96261, 28232, 28398, 110286, 78293, 139223, 103991, 53144, 47289, 76888, 27611, 73724
15 ; RESERVED:CONDITION:INSERTED:global:sheq:2.0 ; 1 ; 3 ; 15 ; 23 ; 74721, 125921, 61189, 104071, 123143, 99046, 119078, 94152, 35722, 22989, 21198, 33326, 59408, 122738, 71253, 18837, 82100, 97878, 35448, 97368, 41786, 19901, 20927
16 ; RESERVED:ARGUMENT:INSERTED:global:null:1.0 ; 1 ; 1 ; 17 ; 27 ; 88899, 114499, 6213, 125901, 104140, 72271, 76752, 126416, 15896, 124761, 119000, 88731, 12635, 47199, 98718, 7589, 47206, 75562, 67248, 124277, 137466, 18297, 29626, 74557, 75581, 74175, 73470
17 ; RESERVED:METHOD_CALL:INSERTED:global:error:1.0 ; 1 ; 1 ; 9 ; 23 ; 91649, 115617, 125570, 90725, 20357, 73735, 100967, 45927, 126278, 6059, 74794, 128138, 90543, 40912, 67093, 126324, 101879, 73721, 86427, 40893, 76127, 95902, 104254
18 ; RESERVED:ASSIGNMENT_RHS:INSERTED:global:this:1.0 ; 1 ; 1 ; 11 ; 17 ; 122528, 80323, 56006, 58857, 104298, 58382, 124112, 79955, 67285, 12949, 67284, 80310, 1688, 30840, 72154, 62300, 24030
19 ; RESERVED:ASSIGNMENT_LHS:INSERTED:global:this:1.0 ; 1 ; 2 ; 28 ; 61 ; 123393, 23684, 109194, 2700, 41871, 48404, 51222, 38936, 59679, 104606, 87979, 13099, 64686, 87982, 69938, 86965, 54969, 55229, 82108, 38974, 28993, 50625, 40898, 93383, 37319, 54471, 102217, 112073, 128713, 115784, 130504, 13261, 119123, 53204, 83157, 49110, 112727, 112728, 133339, 81883, 67802, 54237, 114655, 63200, 133219, 93540, 133351, 10858, 88044, 51825, 109168, 65395, 104309, 39798, 7031, 122358, 70392, 59898, 34302, 34942, 39806
